Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
The Flying Dutchman,Delhi-Ncr,"Sector 63, Noida",Multicuisine,1000,3.8
Spice It,Delhi-Ncr,Ibis New Delhi Aerocity,"Multicuisine, Cocktail Menu",1800,3.8
Oro Bar,Delhi-Ncr,"Radisson Blu, Paschim Vihar","Cocktail Menu, Multicuisine",2500,4.7
Flavors,Delhi-Ncr,"IRIS Sarovar Portico, Sector 85",Multicuisine,1500,4.5
Bikkgane Biryani,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,700,4.5
Ssence,Delhi-Ncr,"The Suryaa Hotel, New Delhi",Multicuisine,3000,4.4
Kwality,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Indian,1500,4.5
Garden House Cafe & Health Kitchen,Delhi-Ncr,"Shahpur Jat, South Delhi",European,1000,4.1
Clubate by Swadesi Tandoor,Delhi-Ncr,"Indirapuram, Ghaziabad",Multicuisine,800,4.2
Resaca,Delhi-Ncr,"Karol Bagh, Central Delhi",Multicuisine,1200,4.6
Sparrow,Delhi-Ncr,"Sector 96, Noida",Multicuisine,1500,5.0
The Art House Cafe,Delhi-Ncr,"Connaught Place (CP), Central Delhi","Cafe, Multicuisine",1200,3.9
MKT,Delhi-Ncr,The Chanakya,Multicuisine,2500,4.5
Zaffran,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Indian,1800,4.5
Mamagoto,Delhi-Ncr,"DLF Mall of India, Sector 18, Noida",Pan Asian,1500,4.4
Mister Chai,Delhi-Ncr,Shangri-La Eros New Delhi,Cafe,2000,5.0
145 Cafe & Bar,Delhi-Ncr,"Cyber Hub, Gurgaon",Multicuisine,1500,4.1
La Vie Douce,Delhi-Ncr,"Sector 65, Gurgaon",Bakery,1200,4.6
Bizi Bean,Delhi-Ncr,"Vasant Kunj, South Delhi","Bakery, Cafe",500,4.7
PO,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Pan Asian,1200,3.7
Binch,Delhi-Ncr,"Greater Kailash (GK) 1, South Delhi","Cocktail Menu, Multicuisine",1800,3.2
Bell Pepperz,Delhi-Ncr,"Ashok Vihar Phase 2, North Delhi",Multicuisine,1200,4.2
Drunken Affair,Delhi-Ncr,"Sector 4, Noida","Cocktail Menu, Multicuisine",1500,4.0
Cafe Another Day,Delhi-Ncr,"District Centre, Janakpuri",Multicuisine,1200,4.0
Pavilion 75,Delhi-Ncr,"WelcomHotel Dwarka, New Delhi",Multicuisine,3450,4.2
La Fierte Restro And Bar,Delhi-Ncr,"Greater Noida, Noida",Multicuisine,1000,5.0
Desi Vibes,Delhi-Ncr,"Sector 18, Noida","Mughlai, North Indian, Indian",1300,4.5
Kampai,Delhi-Ncr,Worldmark 1,Japanese,1800,4.6
Havemore Restaurant Bikaner House,Delhi-Ncr,Bikaner House,"Mughlai, North Indian",2000,4.4
Mirage Nightclub & Air Bar,Delhi-Ncr,"Sector 29, Gurgaon",Cocktail Menu,1200,2.1
