Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Biryani By Kilo,chandigarh-tricity,Panchkula,Biryani,₹700 for two,4.5
Sky Grill,chandigarh-tricity,"Glades Hotel, Chandigarh",Multicuisine,₹1200 for two,4.5
Ghazal Restaurant,chandigarh-tricity,"Sector 17, Chandigarh","Indian, Asian",₹1800 for two,4.5
Azure,chandigarh-tricity,"Sector 5, Panchkula",Multicuisine,₹1500 for two,4.0
The Acre,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1200 for two,4.0
Punjabi Chulla,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹950 for two,3.6
Windmill@Cassia,chandigarh-tricity,"Regenta Central Cassia, Chandigarh",Multicuisine,₹1400 for two,4.3
South of Vindhyas,chandigarh-tricity,"The Orchid, Chandigarh",South Indian,₹1500 for two,4.0
Hotel Bliss,chandigarh-tricity,"Sector 118, Mohali",Multicuisine,₹1000 for two,4.0
The Roof,chandigarh-tricity,"The Saffron, Panchkula",Multicuisine,₹1000 for two,4.0
Boulevard,chandigarh-tricity,"The Orchid, Chandigarh",Multicuisine,₹1500 for two,4.0
Spice Route,chandigarh-tricity,"Glades Hotel, Chandigarh",Multicuisine,₹700 for two,4.2
Salt - The Magical Kitchen,chandigarh-tricity,"Sector 16, Panchkula","Chinese, North Indian",₹1000 for two,4.5
Le Ayat,chandigarh-tricity,"Ambala Chandigarh Expressway, Zirakpur",Multicuisine,₹1500 for two,1.0
Wildwoods Resort,chandigarh-tricity,"Kansal, Chandigarh",Multicuisine,₹1500 for two,4.0
Wok Junction,chandigarh-tricity,"Sector 68, Mohali",Fast Food,₹1000 for two,4.0
Blind Date,chandigarh-tricity,Hotel Tamarind,Multicuisine,₹1000 for two,4.0
Taste da Adda,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹500 for two,4.0
The Eden Garden Bar & Grill,chandigarh-tricity,"Hotel The Park Gate, Sahibzada Ajit Singh Nagar",Multicuisine,₹1500 for two,4.0
Illusion Bar,chandigarh-tricity,"Velvet Clarks Exotica, Chandigarh",Multicuisine,₹1000 for two,4.4
Levels Microbrewery & Skygarden,chandigarh-tricity,"Kharar Road, Mohali",Indian,₹1500 for two,3.5
Da Perch,chandigarh-tricity,"Manimajra, Chandigarh",Multicuisine,₹1000 for two,5.0
Pind Balluchi,chandigarh-tricity,"Kharar, Mohali",Multicuisine,₹800 for two,3.3
Saffron Courtyard,chandigarh-tricity,"Sector 5, Panchkula",Multicuisine,₹1000 for two,4.0
Skybar by The Mohali Heights,chandigarh-tricity,"Phase 11, Mohali",Multicuisine,₹800 for two,4.0
Alpha Q2 Cafe,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1500 for two,4.0
Baluchi,chandigarh-tricity,"The LaLiT, Chandigarh Tricity",Pan Asian,₹2500 for two,4.2
ALL DAY DINER,chandigarh-tricity,Sunday Hotel Zirakpur,Multicuisine,₹1000 for two,4.0
Blind Date Rooftop Bar,chandigarh-tricity,Hotel Tamarind Tree,Multicuisine,₹1600 for two,4.0
O Pizzano,chandigarh-tricity,"Kharar Road, Mohali","American, Italian",₹500 for two,4.0
Story Cafe,chandigarh-tricity,Hotel Tamarind Tree,Multicuisine,₹1000 for two,4.0
South Tandoor,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",South Indian,₹700 for two,4.0
Flavours,chandigarh-tricity,"Hotel Best Western Maryland, Chandigarh",Multicuisine,₹900 for two,4.3
Aurum Lounge & Sky Bar,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1500 for two,3.3
Kitty Ko,chandigarh-tricity,"The LaLiT, Chandigarh Tricity",Continental,₹350 for two,3.0
Deluxe Dhaba Heritage,chandigarh-tricity,"Sector 8, Panchkula",Indian,₹1000 for two,4.0
Le Petit Cafe,chandigarh-tricity,"The LaLiT, Chandigarh Tricity",Desserts,₹500 for two,4.0
Slice of Spice,chandigarh-tricity,"The Saffron, Panchkula",Multicuisine,₹1500 for two,4.0
Lavo & Go,chandigarh-tricity,"Radisson RED Chandigarh Mohali, Chandigarh","Bakery, Cafe",₹800 for two,4.7
The Balkh Grill,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1400 for two,5.0
Backhouse Restaurant,chandigarh-tricity,"Sector 14, Chandigarh",Multicuisine,₹500 for two,4.8
Rise N Dine,chandigarh-tricity,Hotel Stay Well Dhakoli Zirakpur,Multicuisine,₹600 for two,5.0
Chaizade,chandigarh-tricity,"VIP Rd, Zirakpur",Fast Food,₹400 for two,5.0
"Giulia Armando - Pizzeria, Bar & Grill",chandigarh-tricity,"Sector 70, Mohali",Italian,₹1500 for two,4.5
Jiggera Bar,chandigarh-tricity,"Radisson RED Chandigarh Mohali, Chandigarh",Finger Food,₹1400 for two,4.5
Pincode by Kunal Kapur,chandigarh-tricity,"CP 67, Mohali",Multicuisine,₹2000 for two,3.2
Nineteenth May,chandigarh-tricity,"Sector 67, Mohali",Multicuisine,₹700 for two,4.4
F Lounge By FTV,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali","Cocktail Menu, Multicuisine",₹1500 for two,4.0
The Spice Route 003,chandigarh-tricity,"Ambala Chandigarh Expressway, Zirakpur",Multicuisine,₹1000 for two,4.0
Aasma Revolving Restaurant,chandigarh-tricity,"Inox Nh 22 Mall, Panchkula",Multicuisine,₹1500 for two,4.3
Barista Coffee,chandigarh-tricity,"Sector 9, Panchkula","Cafe, Coffee",₹400 for two,5.0
ITALIAN HUT,chandigarh-tricity,"Ambala Chandigarh Expressway, Zirakpur",Italian,₹1500 for two,4.0
Lespresso By Wyndham,chandigarh-tricity,"Wyndham Hotel, Mohali",Coffee,₹1000 for two,4.0
The Spice Lounge,chandigarh-tricity,"Imperial Hotel, Mohali",Multicuisine,₹1000 for two,4.0
Brumus,chandigarh-tricity,"Phase 7, Mohali",Multicuisine,₹1000 for two,4.0
Alfresco,chandigarh-tricity,Best Western Plus Chandigarh,Multicuisine,₹1800 for two,4.0
ZINGAARO,chandigarh-tricity,"Ambala Road, Zirakpur",Multicuisine,₹1100 for two,4.2
The Big Bro,chandigarh-tricity,"Sector 9, Panchkula","Italian, Continental",₹1400 for two,4.3
Jaguars Cafe & Club,chandigarh-tricity,"Utrathiya, Zirakpur",Multicuisine,₹1000 for two,2.3
Down Town Granny's Dhaba,chandigarh-tricity,"Peer Muchalla Rd., Zirakpur","Chinese, Indian",₹650 for two,4.0
Rabaab- FineDine Indian,chandigarh-tricity,"Sector 5, Panchkula",Multicuisine,₹2000 for two,5.0
Chutney House,chandigarh-tricity,"Ambala Chandigarh Expressway, Zirakpur","Chinese, Indian",₹900 for two,3.9
Punjabi Haveli,chandigarh-tricity,"Sector 79, Mohali",Multicuisine,₹1000 for two,4.0
Roti Chonka,chandigarh-tricity,"Phase 3B-2, Sector 60, Mohali","Chinese, Indian",₹500 for two,4.0
Swaad Ghar Jaisa,chandigarh-tricity,"Sector 16, Panchkula",Indian,₹700 for two,4.0
Divine Dine,chandigarh-tricity,"Hotel Superia Grand, Chandigarh",Multicuisine,₹1000 for two,4.0
Himalayan Spice Junction,chandigarh-tricity,"VIP Road, Zirakpur",Indian,₹400 for two,4.0
Cafe Fantastico,chandigarh-tricity,"Splande Plus, Zirakpur",Continental,₹500 for two,4.0
Babe Di Hatti,chandigarh-tricity,"VIP Road, Zirakpur",Multicuisine,₹800 for two,4.0
Mikanos Cafe,chandigarh-tricity,"Sector 38, Chandigarh","Italian, Mexican, Continental",₹1300 for two,4.0
Jeffrey's Cafe & Kitchen,chandigarh-tricity,"Sector 5, Panchkula","Chinese, North Indian, Pizza",₹1100 for two,4.0
Los Amigos,chandigarh-tricity,"Phase 3B-2, Sector 60, Mohali",European,₹600 for two,5.0
King Chinese Bowl,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali","Japanese, Chinese",₹1000 for two,2.2
ACR Luxury Hotel,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1000 for two,5.0
ZAZU,chandigarh-tricity,"Sector 5, Panchkula",Multicuisine,₹2500 for two,4.0
SkySip Rooftop,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹800 for two,1.0
Janta Premium,chandigarh-tricity,"Sector 11, Panchkula",Multicuisine,₹1200 for two,4.0
Punjabi Chulla,chandigarh-tricity,"Sector 117, Mohali",Indian,₹1000 for two,4.0
Pomodoro Cafe and Lounge,chandigarh-tricity,"Sector 82, Mohali, Chandigarh",Multicuisine,₹1200 for two,4.4
Kafenio Cafe & Bistro,chandigarh-tricity,"Sector 82, Mohali, Chandigarh","Multicuisine, Cafe",₹1000 for two,4.5
Wazwan Restaurant,chandigarh-tricity,Panchkula,Multicuisine,₹1000 for two,4.0
Lezzetli,chandigarh-tricity,"Kharar Road, Mohali",Multicuisine,₹1000 for two,4.4
Shinwari By The Bhullar Kitchen,chandigarh-tricity,"Phase 11, Mohali","Indian, Continental, North West Frontier",₹1000 for two,4.0
Rebop - A Culinary Kitchen,chandigarh-tricity,"Oxford Street, Zirakpur","Cocktail Menu, Finger Food",₹800 for two,3.0
Tamzaraa Kafe & Club,chandigarh-tricity,"Chandigarh Industrial Area, Chandigarh",Multicuisine,₹1000 for two,4.2
Shaaks Brewery & Kitchen,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1500 for two,3.0
Hotel Thames,chandigarh-tricity,"Hotel Thames, Zirakpur",Multicuisine,₹1300 for two,4.0
The Haze Restaurant,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹600 for two,4.0
Scotland Yard,chandigarh-tricity,"VIP Road, Zirakpur",Multicuisine,₹1000 for two,4.6
Tipsy Rooftop & Lounge,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1500 for two,4.0
Deep Punjabi Dhaba,chandigarh-tricity,"Gazipur Road, Zirakpur",Multicuisine,₹800 for two,4.0
Vibe The Cafe,chandigarh-tricity,"Motiaz Royal Business Park, Royal Motia Citi Road",American,₹600 for two,4.0
Dimples & Dumplings,chandigarh-tricity,"Kharar Landran Road, Mohali",Chinese,₹300 for two,4.0
Pizza Smuggler,chandigarh-tricity,"Dera Bassi, Mohali",Pizza,₹500 for two,4.0
Amore Cafe,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1200 for two,1.0
Aioli Bistro & Cafe,chandigarh-tricity,"Sector 117, Mohali",Multicuisine,₹700 for two,4.0
Ciel - A Skyhigh Experience,chandigarh-tricity,New Chandigarh,Multicuisine,₹1800 for two,4.0
Inscape Eco Village,chandigarh-tricity,"Morni Hills, Panchkula",Cafe,₹700 for two,4.5
Zaika Fire Bar,chandigarh-tricity,"Paras Downtown Square Mall, Zirakpur",Multicuisine,₹1000 for two,4.0
Pragati,chandigarh-tricity,"HOTEL Parbhat Inn, Panchkula",Multicuisine,₹1600 for two,4.0
The Ambience Hotel,chandigarh-tricity,"Ambala Chandigarh Expressway, Zirakpur",Multicuisine,₹1000 for two,4.0
Enroute,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1200 for two,4.0
Hakka Asian Fusion,chandigarh-tricity,"Sector 8, Panchkula",Pan Asian,₹1800 for two,4.0
Nilgiri Hot Meals,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Indian,₹800 for two,4.0
Skyeline Poolside Bar,chandigarh-tricity,Best Western Plus Chandigarh,"Cocktail Menu, Finger Food",₹1000 for two,4.0
Thirteen Cafe,chandigarh-tricity,"Sector 13, Panchkula, Chandigarh Tricity",Multicuisine,₹800 for two,4.0
Coffea,chandigarh-tricity,"Sector 49, Chandigarh",Fast Food,₹550 for two,5.0
A’margarita Train Restaurant,chandigarh-tricity,"VIP Road, Zirakpur",Multicuisine,₹1000 for two,5.0
Greek House,chandigarh-tricity,"Sector 17, Panchkula, Chandigarh Tricity",European,₹1500 for two,4.0
Brew Waves,chandigarh-tricity,"VR Punjab, Kharar Road","Multicuisine, Cocktail Menu",₹1600 for two,4.0
The Circle Bar,chandigarh-tricity,"The LaLiT, Chandigarh Tricity",Finger Food,₹2000 for two,4.7
Sethi Dhaba,chandigarh-tricity,"Panchsheel Enclave, Chandigarh Tricity",Indian,₹1000 for two,4.0
Jamaica Craft Cafe,chandigarh-tricity,"Airport Road, Mohali Citi Centre, Chandigarh",Cafe,₹1000 for two,4.0
New Coffee House,chandigarh-tricity,"Omaxe Clockton High Street, New Chandigarh",Multicuisine,₹400 for two,4.0
Royal Park Resorts,chandigarh-tricity,"Royal Park Resorts, Zirakpur, Chandigarh",Multicuisine,₹1000 for two,4.0
Tai ki Rasoi,chandigarh-tricity,"Ambala Chandigarh Expressway, Zirakpur",Multicuisine,₹700 for two,4.0
Raaho Club & Microbrewery,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1500 for two,4.0
Binnys Kitchen,chandigarh-tricity,"Sector 66, Mohali",Multicuisine,₹800 for two,4.0
Love's Bite,chandigarh-tricity,"Sector 70, Mohali",Fast Food,₹600 for two,4.0
Hotel Eurasia,chandigarh-tricity,"Zirakpur, Zirakpur","Chinese, Indian, Italian",₹350 for two,4.7
Tasty Hub,chandigarh-tricity,"Phase 9, Mohali","American, Fast Food",₹600 for two,4.0
Garden of Bites,chandigarh-tricity,"Sector 70, Mohali",Multicuisine,₹1200 for two,4.0
Garden of Bites,chandigarh-tricity,"Sector 70, Mohali",Multicuisine,₹1200 for two,4.0
Urban Bitessy,chandigarh-tricity,"VIP Rd, Zirakpur","Chinese, Indian",₹400 for two,4.0
Donuts Time,chandigarh-tricity,"Phase 7, Mohali",Fast Food,₹300 for two,4.0
Gateway of South,chandigarh-tricity,"Ambala Chandigarh Expressway, Zirakpur",South Indian,₹700 for two,4.0
Puzzles Cafe,chandigarh-tricity,"Phase 3B-2, Sector 60, Mohali","European, Italian",₹350 for two,4.0
Pakka Tandoor,chandigarh-tricity,"VIP Rd, Zirakpur",Fast Food,₹700 for two,4.0
Biryani King,chandigarh-tricity,"Sector 64, Mohali",Biryani,₹600 for two,4.0
Hash Uncle,chandigarh-tricity,"Phase 10, Mohali",Multicuisine,₹650 for two,4.0
Burger & Pizza Lovers,chandigarh-tricity,"Phase 1, Mohali",Italian,₹500 for two,4.0
DESI RUTBA CAFE,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹550 for two,4.0
Lords Of Kitchen,chandigarh-tricity,"Phase 7, Mohali",Fast Food,₹600 for two,4.0
Maple N Basil,chandigarh-tricity,"Sector 9, Panchkula",Multicuisine,₹1600 for two,5.0
Blue Coriander By Lords Inn,chandigarh-tricity,Lords Inn Chandigarh Zirakpur,Multicuisine,₹1000 for two,4.0
Cafe Penne Italia,chandigarh-tricity,"Sector 8, Panchkula","Cafe, European",₹800 for two,4.3
Chulla Chownka,chandigarh-tricity,"Sector 68, Mohali",Multicuisine,₹800 for two,3.0
Saanware,chandigarh-tricity,"Sector 14, Panchkula",Multicuisine,₹1000 for two,1.0
Zivana Cafe,chandigarh-tricity,"Sector 108, Mohali, Mohali",Multicuisine,₹1500 for two,4.0
Orophi - The rooftop,chandigarh-tricity,"Mohali City Centre, Mohali",Multicuisine,₹1500 for two,4.0
Katani's Dosa Plaza,chandigarh-tricity,"Sector 117, Mohali",South Indian,₹500 for two,4.0
All day diner,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹800 for two,4.0
Katani's Pizzeria,chandigarh-tricity,"Sector 117, Mohali","Beverages, Italian",₹500 for two,4.0
Lezzetli Bakery & Cafe,chandigarh-tricity,"Kharar Road, Mohali","Cafe, Bakery",₹600 for two,5.0
Bollyvista Blvd,chandigarh-tricity,"Sector 36, Chandigarh",European,₹600 for two,1.0
Luxe,chandigarh-tricity,"Aerocity Road, Zirakpur",Multicuisine,₹1700 for two,5.0
Pokket Cafe,chandigarh-tricity,"Sector 36, Chandigarh",Multicuisine,₹800 for two,1.0
Chawla Dillivala,chandigarh-tricity,"Kharar, Mohali",Indian,₹800 for two,4.0
Hotel Tulip,chandigarh-tricity,"Sector 71, Mohali",Multicuisine,₹1200 for two,4.0
Hotel Tulip,chandigarh-tricity,"Sector 71, Mohali",Multicuisine,₹1200 for two,4.0
Tag USA,chandigarh-tricity,"Airport Road, Mohali Citi Centre, Chandigarh",American,₹800 for two,4.0
The Eminence Restaurant,chandigarh-tricity,"The Eminence Hotel, Chandigarh",Indian,₹1500 for two,4.0
Aristocrats Brew Cafe and Dine Bar,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1000 for two,4.0
Bunny & Bear,chandigarh-tricity,"Oxford Street, Zirakpur","American, Italian",₹1200 for two,4.0
O Chicken,chandigarh-tricity,"Airport Road, Mohali Citi Centre, Chandigarh",Healthy Food,₹700 for two,4.0
Wrap Caffe,chandigarh-tricity,"Dhakoli, Zirakpur",Multicuisine,₹800 for two,4.0
Hash Guys,chandigarh-tricity,"Sector 68, Mohali","Beverages, Cafe",₹600 for two,4.0
Red Chilli,chandigarh-tricity,"Patiala Road, Zirakpur",Multicuisine,₹700 for two,4.0
Sixty Seven cafe,chandigarh-tricity,"Sector 67, Mohali","Continental, Italian",₹700 for two,4.0
Elbesso Hotel,chandigarh-tricity,"Lohgarh, Zirakpur",Indian,₹1000 for two,4.0
Cric8 Net & Cafe,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Cafe,₹1500 for two,4.0
The Beer Cafe,chandigarh-tricity,"Gazipur Road, Zirakpur",Multicuisine,₹1200 for two,3.0
Katani - A Premium Dhaba,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1300 for two,4.0
Corsica,chandigarh-tricity,"Sector 5, Panchkula",Multicuisine,₹1000 for two,4.0
The Barbeque Paradise,chandigarh-tricity,"Zirakpur, Zirakpur","Multicuisine, Barbeque",₹1100 for two,4.0
Inari,chandigarh-tricity,"Sector 5, Panchkula",Multicuisine,₹1500 for two,3.7
Onyx Cafe And Lounge,chandigarh-tricity,"Kharar, Mohali","Indian, Pizza",₹600 for two,4.0
Mumma's kitchen,chandigarh-tricity,"Kharar Road, Mohali",Multicuisine,₹700 for two,4.0
Barista Coffee,chandigarh-tricity,"Kharar Road, Mohali",Cafe,₹400 for two,4.0
Malik Diet,chandigarh-tricity,"Green Lotus Avenue, Zirakpur",Healthy Food,₹800 for two,4.0
Sarson,chandigarh-tricity,"Sector 117, Mohali",North Indian,₹800 for two,5.0
That 90's Cafe,chandigarh-tricity,"Kharar, Mohali","Indian, Chinese",₹1000 for two,5.0
House Of Barqat,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1600 for two,5.0
Timshel Café and Restaurant,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1000 for two,3.8
The Sky Yard,chandigarh-tricity,Mohali,"Chinese, Indian",₹800 for two,4.0
Cube lounge bar by Wyndham,chandigarh-tricity,"Wyndham Hotel, Mohali",Multicuisine,₹2500 for two,4.0
Gurpal Bakers,chandigarh-tricity,"VIP Road, Zirakpur",Fast Food,₹300 for two,5.0
Desi Box,chandigarh-tricity,Chandigarh Tricity,Multicuisine,₹500 for two,5.0
Barbeque Nation,chandigarh-tricity,"Kharar Road, Mohali",Multicuisine,₹1500 for two,5.0
Savoir: An Exquisite Dining,chandigarh-tricity,New Chandigarh,Multicuisine,₹1100 for two,4.0
Little Coco,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹1000 for two,4.0
Itsy Bitsy,chandigarh-tricity,"Sector 20, Panchkula",Multicuisine,₹1400 for two,4.0
Amaari,chandigarh-tricity,"Peer Muchalla Rd., Zirakpur",Multicuisine,₹1200 for two,4.0
Restro Florida Cafe,chandigarh-tricity,"Kharar, Mohali",Multicuisine,₹900 for two,4.0
Chaudhary Chicken,chandigarh-tricity,"Kharar, Mohali","Chicken, Indian",₹800 for two,4.0
Patio Terrasse,chandigarh-tricity,"Golden Tulip, Chandigarh",Multicuisine,₹1600 for two,4.0
Kulcha Theka,chandigarh-tricity,"VIP Road, Zirakpur",North Indian,₹600 for two,1.0
Arora Food,chandigarh-tricity,"Sector 49, Chandigarh",Multicuisine,₹850 for two,1.0
Awadhi Queen,chandigarh-tricity,"Nabha, Zirakpur",Biryani,₹750 for two,4.0
Burgersauras,chandigarh-tricity,"Ambala Road, Zirakpur",Fast Food,₹300 for two,4.0
Neelgiri Hot Meals Tiffin Services,chandigarh-tricity,Chandigarh Tricity,Multicuisine,₹400 for two,4.0
Emomotions,chandigarh-tricity,"VIP Road, Zirakpur",Chinese,₹400 for two,4.0
Awadhi Zaika,chandigarh-tricity,"Oxford Street, Zirakpur",Fast Food,₹400 for two,4.0
Hummus Souk,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali","Lebanese, Mediterranean",₹1000 for two,4.0
Peggy Ice Cream,chandigarh-tricity,"Utrathiya, Zirakpur","Desserts, Ice Cream",₹300 for two,4.0
Delhi #6 Grilled & Sizzling Cafe,chandigarh-tricity,"Phase 5, Mohali",Italian,₹400 for two,4.0
The Kulcha Ghar,chandigarh-tricity,"Phase 10, Mohali",Punjabi,₹400 for two,4.0
Mustard Magic,chandigarh-tricity,"Sector 79, Mohali","Chinese, Indian",₹500 for two,4.0
Dum Dum Biryani,chandigarh-tricity,"Ambala Chandigarh Expressway, Zirakpur",Biryani,₹800 for two,4.0
King Of Subs,chandigarh-tricity,"VIP Road, Zirakpur",Fast Food,₹500 for two,4.0
The Bean House,chandigarh-tricity,"Sector 68, Mohali",Beverages,₹400 for two,4.0
Chatkare Snacks,chandigarh-tricity,"Baltana, Zirakpur",Multicuisine,₹500 for two,4.0
Shambala Cafe,chandigarh-tricity,"Nayagaon, Chandigarh",Multicuisine,₹1000 for two,4.0
Shambala Cafe,chandigarh-tricity,"Nayagaon, Chandigarh",Multicuisine,₹1000 for two,4.0
Evoke,chandigarh-tricity,"Sector 14, Chandigarh",Fast Food,₹500 for two,4.0
Palani's Dosa Kada,chandigarh-tricity,"Oxford Street, Zirakpur",South Indian,₹300 for two,4.0
KK Food Corner,chandigarh-tricity,New Chandigarh,Multicuisine,₹500 for two,4.0
Your Highness Bar By Ramada,chandigarh-tricity,"Ambala Chandigarh Expressway, Zirakpur","Finger Food, Cocktail Menu",₹1000 for two,4.0
The Thirst Trap,chandigarh-tricity,"VIP Rd, Zirakpur","Drinks Only, Fast Food, Coffee",₹600 for two,4.0
Punjabi Rasoi,chandigarh-tricity,"Lohgarh, Zirakpur",North Indian,₹400 for two,4.0
Just Buffet,chandigarh-tricity,"VIP Rd, Zirakpur",Multicuisine,₹1000 for two,4.0
Fiora Kitchen,chandigarh-tricity,"Ambala Chandigarh Expressway, Zirakpur",Multicuisine,₹1000 for two,4.0
Plan B,chandigarh-tricity,"Dera Bassi. Zirakpur, Chandigarh",NA,₹1000 for two,5.0
De Vegan,chandigarh-tricity,"Zirakpur, Zirakpur",Multicuisine,₹1200 for two,3.0
Sixth Street Lounge,chandigarh-tricity,"Ambala Road, Mohali","Cocktail Menu, Multicuisine",₹1800 for two,4.3
The Existential Cafe,chandigarh-tricity,"Sector 36, Chandigarh",Continental,₹1100 for two,4.0
Eating Point,chandigarh-tricity,"Phase 2, Mohali",Multicuisine,₹600 for two,4.0
Beans N Buns,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali","Bakery, Continental",₹600 for two,4.0
Hotel Grand Way,chandigarh-tricity,"Manimajra, Chandigarh",Indian,₹700 for two,4.0
Wazwan,chandigarh-tricity,"Phase 3B-2, Sector 60, Mohali",Indian,₹1000 for two,4.0
Thali Prem,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹800 for two,4.0
The Burger Company,chandigarh-tricity,"Sector 11, Panchkula","Fast Food, American",₹500 for two,3.0
Lush Life Cafe,chandigarh-tricity,"Sector 9, Chandigarh",Cafe,₹1000 for two,4.0
Blue Horizon,chandigarh-tricity,"Hotel Best Western Maryland, Chandigarh","Cocktail Menu, Finger Food",₹1800 for two,4.2
Pax AK Continental,chandigarh-tricity,"Pax Hotels & Resorts Pvt Ltd, Zirakpur",Multicuisine,₹1200 for two,4.0
Maska Chai Bar,chandigarh-tricity,"Mohali City Centre, Mohali",Fast Food,₹400 for two,4.0
Rooftop by Elite,chandigarh-tricity,"Zirakpur, Zirakpur",Indian,₹900 for two,4.0
Sub n Sip,chandigarh-tricity,"Sector 5, Panchkula",Cafe,₹500 for two,4.0
Blessing Buffet,chandigarh-tricity,"Nabha, Zirakpur",Indian,₹600 for two,4.0
Distil Bar by Lords Inn,chandigarh-tricity,"Utrathiya, Zirakpur",Beverages,₹1000 for two,4.0
Grill Garden,chandigarh-tricity,"Nabha, Zirakpur",Multicuisine,₹1000 for two,4.0
R K Food Plaza,chandigarh-tricity,"Gazipur Road, Zirakpur","Chinese, Indian",₹600 for two,4.0
Brotto Pizza,chandigarh-tricity,"Utrathiya, Zirakpur",Multicuisine,₹600 for two,4.0
Bunk & Boom,chandigarh-tricity,"VIP Rd, Zirakpur",Multicuisine,₹1200 for two,4.0
Jazz Lounge,chandigarh-tricity,"Fiora Inn, Zirakpur",Multicuisine,₹1000 for two,3.0
Caldo's Cafe & Lounge,chandigarh-tricity,"Sector 80, Mohali",Multicuisine,₹1200 for two,4.8
La Punjabi Grill,chandigarh-tricity,"Sector 117, Mohali",Multicuisine,₹500 for two,4.0
Singh Grill Cafe,chandigarh-tricity,"Kharar Road, Mohali",Fast Food,₹500 for two,4.0
Urban Grilz Restaurant,chandigarh-tricity,"Gazipur Road, Zirakpur",Multicuisine,₹600 for two,4.0
Brown Munde Cafe,chandigarh-tricity,"Kharar, Mohali","Beverages, Fast Food",₹500 for two,4.0
Roll Express Cafe,chandigarh-tricity,"Kharar Landran Road, Mohali",Fast Food,₹500 for two,4.0
Momoz Theka,chandigarh-tricity,"Sahibzada Ajit Singh Nagar, Mohali",Multicuisine,₹500 for two,4.0
Baskin Robbins,chandigarh-tricity,"Kharar Landran Road, Mohali","Beverages, Desserts, Ice Cream",₹500 for two,4.0
The Knife Kitchen and Bakery,chandigarh-tricity,"Dera Bassi, Mohali",Fast Food,₹600 for two,4.0
Yummy Tummy,chandigarh-tricity,"Dera Bassi, Mohali",Fast Food,₹700 for two,4.0
Terra,chandigarh-tricity,"Sector 5, Panchkula",Multicuisine,₹1200 for two,4.3
Bikaner Bites,chandigarh-tricity,"VIP Road, Zirakpur",Multicuisine,₹500 for two,4.0
AW Crust,chandigarh-tricity,"Ambala Chandigarh Expressway, Zirakpur",Fast Food,₹1500 for two,4.0
The Cave,chandigarh-tricity,Hotel Helios,Multicuisine,₹1100 for two,4.0
Uncle Jack's,chandigarh-tricity,"Phase 10, Mohali","Continental, American",₹800 for two,1.0
Gitano Cafe,chandigarh-tricity,"Sector 118, Mohali",Indian,₹1000 for two,4.5
Rojo Tomate,chandigarh-tricity,"Sector 10, Chandigarh",Italian,₹1200 for two,5.0
Haricots,chandigarh-tricity,"JLPL Industrial Area, Mohali",North Indian,₹1000 for two,4.0
Arena Club,chandigarh-tricity,"Sector 9, Panchkula","Finger Food, Cocktail Menu",₹1800 for two,4.0
Rolls County,chandigarh-tricity,"VIP Road, Zirakpur",Multicuisine,₹800 for two,4.0
Kachori Castle,chandigarh-tricity,"VIP Road, Zirakpur",Street Food,₹800 for two,4.0
