Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Fat Lulu’s,delhi-ncr,"Galleria Market, Gurgaon",Multicuisine,₹1500 for two,4.0
Daryaganj Restaurant,delhi-ncr,"Connaught Place (CP), Central Delhi",North Indian,₹1800 for two,4.2
Barbeque Nation,delhi-ncr,"Connaught Place (CP), Central Delhi","Multicuisine, Barbeque",₹2200 for two,4.4
Farmers Basket,delhi-ncr,Pullman New Delhi Aerocity-An AccorHotels Brand,Multicuisine,₹4500 for two,4.5
La Croute,delhi-ncr,"Sundar Nagar, South Delhi",Italian,₹1200 for two,5.0
Kampai,delhi-ncr,"DLF Promenade Mall, Vasant Kunj",Japanese,₹1500 for two,4.5
YouMee,delhi-ncr,"New Industrial Town, Faridabad","Chinese, Thai, Asian",₹1200 for two,4.4
TEO - Lounge & Bar,delhi-ncr,"Punjabi Bagh, West Delhi",Multicuisine,₹1200 for two,4.0
Spring,delhi-ncr,"Radisson Blu Hotel, Dwarka",Indian,₹1800 for two,4.2
Pling Bar,delhi-ncr,Pullman New Delhi Aerocity-An AccorHotels Brand,"Finger Food, Cocktail Menu",₹3500 for two,4.7
Nehru Place Social,delhi-ncr,"Epicuria Mall, Nehru Place","Cocktail Menu, Multicuisine",₹1300 for two,4.7
Ikk Panjab,delhi-ncr,"Connaught Place (CP), Central Delhi","North Indian, Punjabi",₹2500 for two,4.9
Spectra,delhi-ncr,"The Leela Ambience, Gurgaon",Multicuisine,₹5000 for two,4.4
Flurys,delhi-ncr,"The Park, New Delhi","Confectionery, Bakery",₹700 for two,4.0
Duty Free Flaunt,delhi-ncr,"Vegas Mall, Dwarka","Cocktail Menu, Multicuisine",₹1500 for two,3.4
Pasta Street,delhi-ncr,"Punjabi Bagh, West Delhi",Multicuisine,₹1800 for two,4.6
Rhaas,delhi-ncr,"Karol Bagh, Central Delhi",Multicuisine,₹800 for two,4.0
ASUR,delhi-ncr,"Karampura, West Delhi",Multicuisine,₹1800 for two,3.7
Food Exchange,delhi-ncr,"Novotel City Centre, Delhi NCR",Multicuisine,₹3000 for two,5.0
Viva,delhi-ncr,Holiday Inn New Delhi International Airport,Multicuisine,₹2000 for two,4.3
Miss Nora,delhi-ncr,"Rajouri Garden, West Delhi",Pan Asian,₹1500 for two,4.5
Smoke House Deli,delhi-ncr,"DLF Promenade Mall, Vasant Kunj",European,₹1950 for two,4.4
Chapter Twelve,delhi-ncr,"Sector 12, Faridabad","Cocktail Menu, Multicuisine",₹1500 for two,4.4
Sanadige at Malcha - Fine Dine Restaurant,delhi-ncr,"Chanakyapuri, Central Delhi","Cocktail Menu, Multicuisine",₹2000 for two,4.4
Bella Vino,delhi-ncr,"AIPL Joy Central, Sector 65, Gurgaon",Multicuisine,₹1200 for two,2.7
Orange Room By Habbit,delhi-ncr,"Vasant Vihar, South Delhi",Multicuisine,₹1500 for two,4.3
Vapour Bar Exchange,delhi-ncr,"Sohna Road, Gurgaon","Cocktail Menu, Multicuisine",₹1600 for two,4.4
Green Mantis,delhi-ncr,"Khan Market, Central Delhi",Pan Asian,₹2500 for two,4.5
BiziBean,delhi-ncr,"Connaught Place (CP), Central Delhi",Cafe,₹500 for two,3.0
Asia Alive,delhi-ncr,"DoubleTree by Hilton, Gurgaon",Multicuisine,₹2300 for two,4.4
Breath - Fine Lounge & Bar,delhi-ncr,"Punjabi Bagh, West Delhi",Multicuisine,₹1500 for two,5.0
Whisky Samba,delhi-ncr,"Two Horizon Center, Golf Course Road",Multicuisine,₹2500 for two,4.4
Balloch,delhi-ncr,"Sector 49, Noida",Indian,₹1500 for two,4.1
Mandarin Trail,delhi-ncr,"The Great India Place Mall, Noida","Chinese, Thai, North Indian",₹1600 for two,4.4
Cafe G,delhi-ncr,"Crowne Plaza, Gurgaon",Multicuisine,₹2300 for two,4.5
Kala Swasti Artisanal Indian Culinary,delhi-ncr,"Janpath, Connaught Place (CP), Central Delhi",Indian,₹1800 for two,4.0
VietNom,delhi-ncr,"Cyber Hub, Gurgaon","Pan Asian, Vietnamese",₹2000 for two,4.6
The Ancient Barbeque & Bar,delhi-ncr,"Sector 63, Noida","Indian, Barbeque",₹1300 for two,4.5
Paul,delhi-ncr,"Ambience Mall, Gurgaon","French, Bakery",₹1500 for two,4.4
Nowhere Terrace Brewpub Cafe,delhi-ncr,"Cross Point Mall, Gurgaon",Multicuisine,₹2800 for two,4.4
Kogai Japanese Dining,delhi-ncr,"Global Foyer Mall, Gurgaon","Japanese, Sushi",₹1400 for two,4.3
Glaza Bar & Beyond,delhi-ncr,"M3m 65th Avenue, Sector 65, Gurgaon",Multicuisine,₹1600 for two,4.4
BrewHouse,delhi-ncr,"Radisson Blu Kaushambi Delhi NCR, Ghaziabad",Multicuisine,₹2000 for two,4.2
DKK,delhi-ncr,"The Grand, New Delhi","Multicuisine, Modern Indian",₹3200 for two,4.2
NewYork Street,delhi-ncr,"Sector 29, Gurgaon",Multicuisine,₹2000 for two,4.0
The Qube,delhi-ncr,"The Leela Palace, New Delhi",Multicuisine,₹3200 for two,4.5
